Gender,abbess (any),bad abbess,good abbess,morality of abbess(es),abduction (any),female abductee,male abductee,gender of abductee(s),adultery,banditti,banishment,"mark, identifying (any)",birthmark,scar,kind of mark,blood (any),"brothers, dissimilar",cave,"child/infant, dead",clergyman (any),evil clergyman,good clergyman,morality of clergyman,confinement (any),extralegal confinement,legal confinement,legality of confinement,convent (any),haven in convent,prison in convent,quality of convent,corpse (any),cross-gender dressing,male disguised as female,female disguised as male,original gender,death (any),emotionally induced death,pre-nuptual death,sad and/or pious death,kind of death,deathbed,agonies on deathbed,"blessing, missed","speech, unfinished, on deathbed",action on deathbed,"door, secret","dream, prophetic",drugging,vice,drunkenness,gaming,gluttony,kind of vice,dueling and other single combat,dungeon,elopement (any),successful elopement,bungled or prevented elopement,success of elopement,execution,fainting (any),female fainting,male fainting,gender of fainter,falling (any),fire (any),flagellation,ghost (any),grave (any),"homecoming, tragic","human as commodity, prey, or sacrifice",illegitimacy,"illness, emotionally induced",incest-Tracy,actual incest,almost incest,consummation of incest,Inquisition,letter (any),fornicator (any),libertine,loose woman,gender of person having unacceptable sex,lunacy,masking,miniature,"music, mysterious",murder (any),filicide,fratricide,infanticide,mariticide,matricide,parricide,sororicide,uxoricide,monastery (any),nun (any),sexually active nun,orphan,"passage, subterranean",noble peasant or apparent peasant,piracy,poison (any),portrait (any),presentiment,putrefaction,sexual assault,rape,attempted rape,kind of assault,"relative, lost, discovery of","reputation, loss of",Satan and lesser demons,"secrecy, oath of",seduction,of female by male,of male by female,gender of seductee,shipwreck,bones (any),skeleton (any),skull (any),starvation,storm,suicide mentions (any),suicide,attempted or contemplated suicide,faked or threatened suicide,status of suicide,torture (any),usurpation,"vengeance, vow of",villainess,"voice, mysterious","warning, anonymous or pseudonymous",wedding (any),"aborted prior to ceremony, wedding",clandestine wedding,counterfeit wedding,forced wedding,interrupted wedding,status of wedding,sentimental;Sentimental;Sentimentalized;sentimentalized,acoustic,authentic;actual;actually,combined;Combined;combines;compilation;composite;Anthology;anthology,Apocalyptic,Chapbook;chapbook;bluebook,castle,categorized,centered,character;characterization;characters,containing,Parody;parody;burlesque;caricature;satire;satiric;satirizes;Comic,effects;elements;features;attitudes;episodes;intermittent;methods;overtones;periodic;qualities;scenes;situations;touches;traits;tendencies;strains;devices;Semi;secondary;components,Contemporized,descriptions,domestic;Domestic;domesticated,Doppleganger;Double,drama,entanglements,epistolary;Epistolary,essays,explained;Natural;natural;Naturalized;naturalized,fantasy,father,Fehmic;FehmicCourt,Fiction;fiction,form;format,fragments,futuristic,genealogical,German;Germanic;Rauberroman;Rauberroman;Rauberromantik;Schauerroman;Schauerromantik;Shauerromantik;Ritterroman,Godwin;Godwins,gothic;Gothic,Gothified,Gothicism,Gothics,Grotto,heroine;heroines,Pure;high,historical;Historical;history;History,horrific;horror,terror;terrors,horrorANDterror,ONLYhorror,Ideas;ideas,imitates;imitation;imitations,incest-Frank,incident,Irish,Jacobin,journalistic;Documentary,main,key,Lewisite;Lewiss;THEMONK;THEMONKs,legend,Lelands;LONGSWORD,loathsome,maiden,Maturins;THEFATALREVENGE;MELMOTHTHEWANDERER,Medieval;medievalism,mode,modes,Monastic;monastic,monster,didactic;Didactic;didactit;moralized;Polemical;polemical;attack;Political;politics;philosophic;philosophical;Philosophical,didactic;Didactic;didactit;moralized,Polemical;polemical;attack;Political;politics;philosophic;philosophical;Philosophical;Radical;Revolution;revolutionary,Polemical;polemical;attack,Political;politics,philosophic;philosophical;Philosophical,Radical;Revolution;revolutionary,motif;motifs,mysterious,noir;Noir,Novel;novel;novels,novelists,Orientalized,Walpole;OTRANTO;Otrantoesque;THECASTLEOFOTRANTO
m,,,,,1,1,,female,,,,,,,,,,,1,,,,,1,1,,extra,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,1,almost,,1,,,,,,,1,,2,,,,,,1,,1,,,,,,1,,,,,,1,1,,rape,,,,,,,,,,1,1,,,1,1,1,,,suicide,,,1,,,,2,,1,,,1,clandestine and interrupted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothified,,,,,,history,,terror,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,
m,,,,,1,,1,male,,,,,,,,,,,,,,,,1,1,,extra,,,,,,,,,,1,1,,,emotional,,,,,,,1,1,1,1,,,drunkenness,,,,,,,,,,,,1,,,,,,1,,,1,,1,almost,1,,1,,1,f,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,1,,1,1,1,1,,f,,1,,1,,,1,1,,,suicide,,1,,,,,1,,,,1,,forced,,,,,,,,,,,,,elements,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,Pure;high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,almost,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,1,m,,,,,,,2,1,1,,suicide and attempt,,,1,,,,,,,,,,,sentimental,,,,,,,,,,,,elements,,,domestic,,,,,,Naturalized,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,,,,,1,1,,female,,1,1,,,,,,,,,,,,,1,1,,extra,1,1,,haven,,,,,,,,,,,,,,,,,,1,1,,1,,gaming,1,,,,,,1,,,,,,,1,,,1,1,,,1,,1,almost,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,1,fake,1,,1,,,,1,,,,1,,forced,,acoustic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,Pure;high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,,,,,,,,,,1,,,,,,1,,,,,,,,1,1,,extra,,,,,,,,,,,,,,,,,,,,,,,1,1,,,drunkenness,1,,,,,,,,,,,,1,,2,,,1,,,1,,1,almost,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elements,,,,,,,,,,,,,,,,,,Schauerromantik,,Gothic,,,,,,Pure;high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,1,1,,bad,1,1,,female,,,,,,,,2,1,1,,,,,,1,1,,extra,2,,1,prison,2,1,,,,1,1,,,emotional,,,,,,1,1,,,,,,,,1,,,,,,1,1,,female,,1,1,4,,,,,1,1,,1,almost,1,,,,,,,,,,1,,,,,,1,,,1,1,1,,1,,,1,,1,,1,,1,attempted rape,,,,1,,,,,1,2,1,1,1,1,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,Gothified,,,,,Pure;high,history,horror,terror,horror-terror,,,,,,,,,,,,,,,,,,,modes,,,,,,,,,,,,,,,,
m,,,,,1,,1,male,,,,,,,,,,1,,1,1,,evil,1,1,,extra,1,,1,prison,,,,,,,,,,,1,1,,,agonies,1,1,,,,,,,,1,,,,,1,2,1,1,both,,,,3,,,,,,,,,,1,,,,,,,1,1,,2,1,,,,,,,1,,,,1,1,1,,,,1,1,1,,1,attempted rape,,,,1,,,,,,1,1,,1,1,1,1,,,suicide,,,,,1,1,1,,,,1,,forced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,Pure;high,,,terror,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,
m,1,1,,bad,,,,,,1,,,,,,,,,1,,,,,1,1,,extra,3,1,1,both,1,,,,,2,1,,1,emotional and sad,,,,,,1,1,1,,,,,,,1,,,,,,1,1,,female,1,1,1,,,,,1,,,,,,1,,,,,,,1,,1,2,,1,,,1,,,,,,,,1,,,,,,1,1,1,,rape,1,1,,1,1,,1,m,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,Pure;high,,horror,terror,horror-terror,,,imitation,,,,,,,,THEMONK,,,,,,,,modes,monastic,,,,,,,,,,,,,,,
m,,,,,1,1,1,both,,,,,,,,,,,1,,,,,2,1,1,both,,,,,,1,,,,2,1,,1,emotional and sad,2,1,,1,agonies and speech,,,1,,,,,,1,,1,1,,successful,,2,1,1,both,,,1,,,,,1,,,,,,,1,1,1,,m,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,1,,f,,,,,,,2,1,1,,suicide and attempt,,,1,1,,1,,,,,,,,,,,,,,,,,,,,elements,,,Domestic,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,actual,,,,,,,,,,,,,,,,,,,natural,,,,,,,,,,,Gothic,,,,,,,,horror,,,horror,,,,incident,,,Documentary,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,1,,1,good,2,1,1,both,,1,,,,,,1,1,1,,1,1,,evil,1,1,,extra,,,,,,,,,,,,,,,,,,,,1,,1,2,1,1,,drunkenness and gaming,,,,,,,,1,1,,female,,2,,1,1,1,,,,,,,,,,1,1,,m,1,,,,1,,,,,,1,,,,1,1,,1,,,2,,,,1,1,,rape,,,1,,,,,,,1,,1,,,1,1,,,suicide,,,1,,1,1,,,,,,,,,,,,,,,,,,,,elements,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,Pure;high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,,,,,2,1,1,both,,,,,,,,,,,,,,,,2,1,1,both,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,gaming,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,m,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,attempted rape,,,,,,,,,,,,,,1,1,,1,,attempt,,,,,,,,,,,,,,,,,,,,,,,,,,elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,Ideas,,,,,,,,,,,,,,,,,,,,,,Radical,,,,Radical,,,,Novel,,,
m,,,,,,,,,,,1,,,,,,,,,1,1,,evil,1,1,,extra,,,,,2,,,,,,,,,,,,,,,,1,,1,1,,,drunkenness,1,,,,,,,1,1,,female,1,,1,,1,,,1,,,,,,,,1,,1,f,,,,,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,1,,f,,,,,,,1,1,,,suicide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doppleganger;Double,,,,,,,,,,,,,,,,,,,,,,,,horror,terror,horror-terror,,,,,,,,,,,,,,,,,,,modes,,,,,,,,,,,,,,,,
m,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,extra,,,,,0.5,1,,,,,,,,,,,,,,,,,2,1,,1,drunkenness and gluttony,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothified,,,,,,History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,,,,,1,,1,male,1,1,,,,,,1,,,,,,,,,,,,1,1,,haven,,,,,,,,,,,,,,,,,1,1,1,,1,,gaming,1,1,1,,1,prevented,,2,1,1,both,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,1,1,1,,f,,,,,,1,1,1,,,suicide,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fehmic,,,,,,,,Gothic,,,,,,Pure;high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,,,,,1,,1,male,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,attempt,,,,,,,,,,,,,,,,,,,,,,,,,,elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,horror,terror,horror-terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,noir,,,,
m,1,,1,good,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,drunkenness,1,1,,,,,,2,1,1,both,2,,1,,,,1,,,,,,,,1,1,,1,f,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,1,1,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orientalized,
m,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,both,,,,,,,,,,1,1,,,emotional,,,,,,,,,,,,,,,,,,,,,1,1,,female,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,attempted rape,,,,,,,,,1,,,,,1,1,1,,,suicide,,,,,,,,,,,,,,,,,,,,,,,,,,elements,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,legend,,,,MELMOTHTHEWANDERER,,,,,,,,,,,,,,,,,,,
m,,,,,1,1,,female,,1,,,,,,1,,,,2,1,1,both,,,,,,,,,,,,,,,,,,,1,1,,,agonies,,,,,,,,,,1,,,,,,1,,1,male,1,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,Pure;high,,,terror,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,
m,,,,,1,,1,male,,,,,,,,,,,1,,,,,1,,1,legal,,,,,,,,,,1,1,,,emotional,,,,,,,,,1,,1,,gaming,1,1,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elements,,,,,,,,,,,,,,,,,,,,,Gothified,,,,,,history,,,,,,,,,,,,,,,,,,,,,,,,,didactic,didactic,,,,,,,,,,,,
m,,,,,,,,,,1,,,,,,,1,,,,,,,2,1,1,both,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,drunkenness,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,1,attempted rape,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elements,Contemporized,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,didactic;polemical,didactic,polemical,polemical,,,,,,,,,,
m,,,,,1,,1,male,,1,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,1,1,1,,,drunkenness,,,,,,,1,1,1,,female,,,,,,,,,1,1,1,,actual,1,,1,1,,m,,,1,1,,,,,,,,,,,,,,,,1,,1,1,,1,1,,rape,1,1,,1,,,,,,1,,1,1,1,1,1,,,suicide,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,Pure;high,,horror,,,horror,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,
m,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,,female,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,1,,,suicide,,,1,1,,,1,,,,1,,forced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,Pure;high,,,terror,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,
m,,,,,,,,,,1,,,,,,1,1,,,1,1,,evil,1,1,,extra,,,,,,,,,,1,,1,,pre-nuptual,,,,,,,1,,1,,1,,gaming,,,,,,,,1,1,,female,,,,,,,,1,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,,f,,,,,,1,,,,,,,,,,1,,1,,,,1,,forced,,,,,,chapbook,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,THEMONK,,,,,,,,,,,,,,,,,,,,,,,,
m,,,,,1,1,,female,,1,,,,,,,,1,,,,,,1,1,,extra,,,,,3,,,,,,,,,,1,1,,,agonies,,,,,,,,,,,,,,,,1,,1,male,3,,,1,,1,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,,f,,,,,,1,1,,1,,attempt,,,,,1,,,,,,,,,,,,anthology,,,,,,,,,,,,,,,,,essays,,,,,,,fragments,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,1,,1,good,2,1,,female,,,,,,,,1,,,,,,,,2,1,1,both,1,1,,haven,1,,,,,,,,,,1,1,,,agonies,,,,1,1,,,drunkenness,,,,,,,,1,,1,male,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,Gothified,,,,,Pure;high,history,,terror,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,
m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,attempt,,,,,,,,,,,,,,Sentimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,
m,,,,,1,1,,female,,1,,,,,,,,,,1,1,,evil,1,1,,extra,,,,,,,,,,1,1,,,emotional,,,,,,1,1,1,1,,1,,gaming,,1,,,,,,,,,,,1,,1,,,,1,1,,,,,1,,1,,1,f,,1,,,,,,,,,,,,1,1,1,,,1,,,,1,,1,,1,attempted rape,1,,,1,,,,,,1,1,,1,,1,1,,,suicide,1,1,1,,1,1,2,,,1,,1,counterfeit and interrupted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,Pure;high,,,terror,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,
m,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,female,,,,,,,,,,1,,1,almost,,1,,,,,,1,,,1,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,Pure;high,,,terror,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,
m,1,1,,bad,1,1,,female,,,,,,,,1,,1,,,,,,1,1,,extra,2,1,1,both,4,1,,1,,1,,,1,sad,1,1,,,agonies,1,1,1,,,,,,,1,,,,,,2,1,1,both,,1,,2,2,,,,,1,,1,almost,,1,,,,,1,,,1,,,,,,,,,,,,,1,1,,1,1,,1,,1,,1,attempted rape,1,,,1,,,,,,,,,1,1,1,,,1,fake,1,1,1,,1,,2,,,,1,1,forced and interrupted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothified,,,,,,history,,terror,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,
m,2,1,1,both,1,1,,female,,1,,,,,,,1,1,1,1,1,,evil,1,1,,extra,1,,1,prison,1,1,,,?,1,,,1,sad,2,1,,1,agonies and speech,1,1,,1,1,,,drunkenness,,1,,,,,,2,1,1,both,2,1,,4,1,,,,,1,1,,actual,,,,,,,1,1,1,1,1,,1,,,,,,,1,2,1,,1,,1,,,1,,1,,1,attempted rape,,1,,1,,,,,,1,,1,,1,,,,,,,1,1,1,1,,3,,1,1,,1,"clandestine, counterfeit, and interrupted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,Pure;high,,,terror,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,
m,,,,,2,1,1,both,,1,,,,,,,,,,,,,,1,,1,legal,,,,,1,,,,,,,,,,1,1,,,agonies,1,1,1,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,1,1,,m,1,,1,,,,,,,,,,,,,,1,,,,,,,1,1,,1,attempted rape,1,,,,,,,,,,,,,1,1,1,,,suicide,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,Pure;high,,horror,terror,horror-terror,,,,,,,,,,,,,,,,,,,modes,,,,,,,,,,,,,,,,
m,,,,,1,1,,female,,1,,1,1,,birthmark,,,,,,,,,1,1,,extra,,,,,1,,,,,,,,,,,,,,,1,1,1,,,,,,,1,,,,,1,1,1,,female,,,,,1,,,,1,1,,1,almost,1,,,,,,1,,1,1,,,,,,,,,,,,,,1,,,1,1,,1,1,,1,attempted rape,,,,,,,,,,2,2,,,1,1,1,,,suicide,,,,1,,1,1,,1,,,,clandestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,Pure;high,,,terror,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,
m,,,,,1,,1,male,,,,,,,,,,,,,,,,1,1,,extra,,,,,,,,,,,,,,,1,1,,,agonies,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,suicide,,,,,1,,1,,,,,1,interrupted,,,,,,chapbook,,,,,,,elements,,,,,,,,,,,,,,,,,,Shauerromantik,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,,,,,1,,1,male,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,almost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,chapbook,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,almost,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,2,1,1,,suicide and attempt,,,,,,,,,,,,,,,,,,,chapbook,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,,,,,,,,,,,,,,,,,,,,,,,,1,1,,extra,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,almost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,attempted rape,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,chapbook,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,,,,,1,,1,male,1,1,,,,,,,,,,,,,,1,1,,extra,,,,,,,,,,1,1,,,emotional,,,,,,1,,,1,,1,,gaming,,1,,,,,,,,,,,,,,,,,1,1,1,1,,actual,,,1,,1,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,f,,,,,,,1,1,,,suicide,,1,,,,,,,,,,,,,,,,,chapbook,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,,,,,1,,1,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,agonies,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,attempted rape,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,chapbook,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,,,,,1,1,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,rape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chapbook,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,legal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,1,1,,,,,aborted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothified,,,,,,History,,,,,,,,,,,,,,,legend,,,,,,,,,,,,,,,,,,,,,,,
m,,,,,1,,1,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,successful,,1,1,,female,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,elements,,,domestic,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philosophical,,Philosophical,,,Philosophical,,,,,,,,
m,,,,,,,,,,,1,,,,,,,,,1,,1,good,,,,,,,,,1,,,,,1,1,,,emotional,,,,,,,1,,1,1,,,drunkenness,,,,,,,,2,1,1,both,1,,,2,,,,1,,,,,,,,,,,,,1,1,1,2,1,,,,,,,1,1,1,,,1,,,,2,1,1,1,,1,attempted rape,1,1,1,,1,1,,f,1,,,,,1,1,,1,,attempt,,,,,1,,1,,,,,1,interrupted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothified,,,,,,History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,,,,,,,,,1,,,,,,,2,,,1,1,,1,good,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,1,,drunkenness and gaming,,,,,,,,1,1,,female,,1,,1,,,1,,,,,,,,,,,,,,1,,1,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,Pure;high,,,terror,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,
